"Package","Version"
"BH","1.72.0-3"
"Brobdingnag","1.2-6"
"DBI","1.1.0"
"DT","0.15"
"Epi","2.46"
"FNN","1.1.3"
"Formula","1.2-3"
"GGally","2.0.0"
"Gmisc","2.0.1"
"HDInterval","0.2.2"
"Hmisc","4.4-1"
"KMsurv","0.1-5"
"KernSmooth","2.23-17"
"MASS","7.3-52"
"MatchIt","4.2.0"
"Matrix","1.2-18"
"MatrixModels","0.4-1"
"ModelMetrics","1.2.2.2"
"NHPoisson","3.3"
"Publish","2020.12.23"
"R.methodsS3","1.8.1"
"R6","2.4.1"
"RColorBrewer","1.1-2"
"RCurl","1.98-1.2"
"ROI","1.0-0"
"ROI.plugin.lpsolve","1.0-0"
"Rcpp","1.0.5"
"RcppArmadillo","0.9.900.3.0"
"RcppEigen","0.3.3.7.0"
"RcppParallel","5.0.2"
"RcppProgress","0.4.2"
"RcppRoll","0.3.0"
"Rdpack","2.1.1"
"SCCS","1.2"
"SQUAREM","2020.5"
"SparseM","1.78"
"StanHeaders","2.21.0-6"
"TH.data","1.1-0"
"UpSetR","1.4.0"
"V8","3.2.0"
"VGAM","1.1-6"
"XML","3.99-0.6"
"abind","1.4-5"
"arrow","4.0.0.1"
"ash","1.0-15"
"askpass","1.1"
"assertthat","0.2.1"
"backports","1.1.9"
"base64enc","0.1-3"
"bayesm","3.1-4"
"bayesplot","1.7.2"
"bayestestR","0.8.2"
"bdsmatrix","1.3-4"
"binom","1.1-1"
"bit","4.0.4"
"bit64","4.0.5"
"bitops","1.0-6"
"blob","1.2.1"
"boot","1.3-25"
"brglm2","0.7.1"
"bridgesampling","1.0-0"
"brms","2.13.5"
"broom","0.7.5"
"broom.helpers","1.2.1"
"caTools","1.18.2"
"callr","3.4.3"
"car","3.0-9"
"carData","3.0-4"
"caret","6.0-86"
"cellranger","1.1.0"
"checkmate","2.0.0"
"class","7.3-17"
"classInt","0.4-3"
"cli","2.0.2"
"clipr","0.7.0"
"cluster","2.1.0"
"cmprsk","2.2-11"
"coda","0.19-3"
"codetools","0.2-16"
"colorspace","1.4-1"
"colourpicker","1.0"
"commonmark","1.7"
"conquer","1.0.2"
"corpcor","1.6.9"
"corrplot","0.84"
"cowplot","1.0.0"
"coxme","2.2-16"
"cpp11","0.2.7"
"crayon","1.3.4"
"credentials","1.3.0"
"crosstalk","1.1.0.1"
"curl","4.3"
"data.table","1.13.0"
"date","1.2-39"
"dbplyr","1.4.4"
"deSolve","1.28"
"desc","1.2.0"
"detectseparation","0.2"
"dfidx","0.0-4"
"digest","0.6.25"
"distributional","0.2.0"
"doParallel","1.0.15"
"dplyr","1.0.2"
"dtplyr","1.0.1"
"dummies","1.5.6"
"dygraphs","1.1.1.6"
"e1071","1.7-3"
"egg","0.4.5"
"ellipsis","0.3.1"
